"GDP per capita, current prices
 (U.S. dollars per capita)",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Republic of ",1268.422,1037.327,1109.284,1255.568,1617.326,2058.304,2436.377,2586.304,3346.18,2722.039,3597.956,4175.34,4607.39,4559.725,4438.243,2873.72,2576.549,2721.179,3316.879,3060.094
Costa Rica,3941.14,4041.944,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.126
Croatia,5053.534,5363.191,6216.126,8191.304,9718.251,10453.246,11490.022,13730.883,15855.122,14372.182,13676.692,14619.948,13417.796,13948.875,13976.056,12070.738,12548.245,13556.318,15009.085,15089.373
Cyprus,14464.816,14905.024,16188.394,20389.178,23969.818,25527.252,27448.569,31774.426,36009.56,32650.09,31521.893,32910.616,29075.269,27671.331,27076.806,23507.588,24802.599,26834.665,29630.487,29624.708
Czech Republic,6015.067,6627.103,8056.318,9823.287,11751.897,13446.938,15284.674,18527.743,22925.748,19908.146,19983.577,21890.781,19880.902,20129.622,19915.381,17842.868,18553.304,20605.825,23380.772,23616.011
Côte d'Ivoire,920.48,935.453,1009.647,1216.947,1282.225,1287.98,1308.59,1458.248,1697.062,1657.61,1650.97,1660.464,1686.744,1919.177,2115.206,1932.237,1989.85,2103.872,2285.248,2279.707
Denmark,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54862.848,57772.553,61724.492,59678.596
Djibouti,1088.219,1106.677,1121.167,1160.467,1212.849,1271.217,1359.487,1478.419,1692.43,1722.341,1837.212,2038.56,2190.283,2314.559,2470.925,2652.513,2803.689,2926.153,3038.268,3172.748
Dominica,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6980.957,7160.275,6994.866,7153.468,7388.583,7596.222,8089.25,7507.368,7981.044,8466.407
Dominican Republic,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8595.18
Ecuador,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6318.477,6260.603
Egypt,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3569.482,3583.854,3705.465,3933.927,3862.011,2592.707,2710.158,3240.513
El Salvador,1977.835,2051.156,2106.732,2197.501,2273.938,2434.33,2651.445,2814.604,2964.17,2889.68,3017.326,3305.002,3471.047,3555.185,3638.533,3761.492,3870.318,3986.018,4145.89,4280.3
Equatorial Guinea,1885.985,2616.487,3107.854,5424.13,8214.073,10810.445,12743.347,15782.688,22834.435,16596.742,17153.165,21479.995,21556.417,20252.748,19271.286,11217.985,9202.539,9624.532,9968.089,8355.342
